iter	Passed	Remaining
0	617	61129
1	1220	59819
2	1725	55790
3	2240	53769
4	2753	52308
5	3236	50710
6	3709	49287
7	4219	48526
8	4712	47643
9	5223	47009
10	5705	46164
11	6172	45262
12	6694	44804
13	7173	44065
14	7732	43819
15	8207	43088
16	8747	42708
17	9226	42029
18	9699	41351
19	10194	40778
20	10670	40142
21	11163	39578
22	11616	38890
23	12135	38428
24	12597	37793
25	13072	37205
26	13555	36649
27	14082	36211
28	14646	35857
29	15121	35284
30	15407	34293
31	15890	33767
32	16361	33218
33	16837	32685
34	17261	32057
35	17737	31533
36	18203	30994
37	18693	30499
38	19222	30065
39	19769	29654
40	20440	29413
41	21048	29067
42	21729	28804
43	22245	28312
44	22803	27871
45	23296	27347
46	23808	26847
47	24261	26283
48	24703	25711
49	25210	25210
50	25715	24707
51	26233	24215
52	26727	23701
53	27207	23176
54	27689	22655
55	28152	22120
56	28697	21649
57	29158	21114
58	29639	20596
59	30146	20097
60	30586	19555
61	31084	19051
62	31523	18513
63	31988	17993
64	32492	17495
65	32940	16969
66	33414	16458
67	33893	15950
68	34358	15436
69	34908	14960
70	35367	14445
71	35868	13948
72	36344	13442
73	36847	12946
74	37368	12456
75	37857	11954
76	38281	11434
77	38743	10927
78	39243	10431
79	39726	9931
80	40220	9434
81	40660	8925
82	41141	8426
83	41590	7922
84	42058	7422
85	42518	6921
86	42975	6421
87	43610	5946
88	44348	5481
89	44802	4978
90	45281	4478
91	45788	3981
92	46291	3484
93	46778	2985
94	47253	2487
95	47822	1992
96	48303	1493
97	49266	1005
98	49887	503
99	51052	0
